Tiempo,Referencia,Salida_Planta,z0,z1,z2,z3
0.924,0,-0.000126812,1.82936e-05,0.000865653,0.0123423,0.0288
0.928,0,-0.000126219,1.9008e-05,0.000876462,0.011929,0.0216
0.932,0,-0.000125139,1.96792e-05,0.000884809,0.0114819,0.0144
0.936,0,-0.000123559,2.03029e-05,0.000890619,0.0110013,0.0072
0.94,0,-0.000121472,2.08747e-05,0.000893815,0.0104876,-1.56125e-17
0.944,0,-0.000118869,2.13903e-05,0.000894328,0.0099414,-0.0072
0.948,0,-0.000115745,2.18454e-05,0.00089209,0.00936305,-0.0144
0.952,0,-0.000112094,2.22359e-05,0.000887037,0.00875299,-0.0216
0.956,0,-0.000107915,2.25578e-05,0.000879109,0.00811168,-0.0288
0.96,0,-0.000103206,2.2807e-05,0.00086825,0.00743958,-0.036
0.964,0,-9.79681e-05,2.29798e-05,0.000854407,0.00673714,-0.0432
0.968,0,-9.22033e-05,2.30724e-05,0.000837534,0.00600485,-0.0504
0.972,0,-8.59167e-05,2.30814e-05,0.000817586,0.00524319,-0.0576
0.976,0,-7.91148e-05,2.30034e-05,0.000794525,0.00445268,-0.0648
0.98,0,-7.18062e-05,2.28354e-05,0.000768318,0.00363385,-0.072
0.984,0,-6.40018e-05,2.25744e-05,0.000738938,0.00278723,-0.0792
0.988,0,-5.57145e-05,2.2218e-05,0.000706362,0.00191343,-0.0864
0.992,0,-4.69595e-05,2.17637e-05,0.000670575,0.00101303,-0.0936
0.996,0,-3.7754e-05,2.12097e-05,0.000631567,8.66897e-05,-0.1008
1,3.33067e-16,-2.81177e-05,2.05542e-05,0.000589339,-0.000864902,-0.108
1.004,0.002,-1.79837e-05,0.000118428,0.000988526,0.000407584,-0.1008
1.008,0.004,-6.9735e-06,0.000280678,0.0015544,0.0020214,-0.0936
1.012,0.006,5.82082e-06,0.000498609,0.00224763,0.00386926,-0.0864
1.016,0.008,2.19759e-05,0.000767086,0.00304793,0.00590183,-0.0792
1.02,0.01,4.38377e-05,0.00108251,0.00394237,0.00808994,-0.072
1.024,0.012,7.45927e-05,0.00144214,0.0049218,0.010414,-0.0648
1.028,0.014,0.000118317,0.00184376,0.00597928,0.01286,-0.0576
1.032,0.016,0.00018001,0.00228553,0.00710935,0.0154169,-0.0504
1.036,0.018,0.000265605,0.00276588,0.00830754,0.0180764,-0.0432
1.04,0.02,0.00038198,0.00328343,0.00957013,0.0208315,-0.036
1.044,0.022,0.00053695,0.00383696,0.010894,0.0236764,-0.0288
1.048,0.024,0.000739248,0.00442538,0.0122763,0.0266063,-0.0216
1.052,0.026,0.000998513,0.00504771,0.0137147,0.0296169,-0.0144
1.056,0.028,0.00132525,0.00570305,0.0152071,0.0327046,-0.0072
1.06,0.03,0.00173083,0.00639057,0.0167515,0.0358662,-1.21431e-17
1.064,0.032,0.00222739,0.00710951,0.0183464,0.0390989,0.0072
1.068,0.034,0.00282789,0.00785914,0.0199901,0.0424,0.0144
1.072,0.036,0.00354598,0.00863882,0.0216812,0.0457673,0.0216
1.076,0.038,0.00439601,0.00944791,0.0234185,0.0491988,0.0288
1.08,0.04,0.005393,0.0102858,0.0252008,0.0526924,0.036
1.084,0.042,0.00655254,0.011152,0.027027,0.0562466,0.0432
1.088,0.044,0.00789081,0.012046,0.0288961,0.0598596,0.0504
1.092,0.046,0.0094245,0.0129672,0.0308071,0.06353,0.0576
1.096,0.048,0.0111708,0.0139152,0.0327593,0.0672564,0.0648
1.1,0.05,0.0131472,0.0148895,0.0347516,0.0710376,0.072
1.104,0.052,0.0153719,0.0158898,0.0367835,0.0748724,0.0792
1.108,0.054,0.0178631,0.0169155,0.0388542,0.0787596,0.0864
1.112,0.056,0.0206395,0.0179663,0.0409629,0.0826982,0.0936
1.116,0.058,0.0237201,0.0190418,0.0431091,0.0866872,0.1008
1.12,0.06,0.027124,0.0201417,0.0452922,0.0907257,0.108
1.124,0.062,0.0308707,0.0212656,0.0475115,0.0948129,0.1152
1.128,0.064,0.0349798,0.0224131,0.0497666,0.0989478,0.1224
1.132,0.066,0.039471,0.023584,0.0520568,0.10313,0.1296
1.136,0.068,0.0443641,0.0247779,0.0543818,0.107358,0.1368
1.14,0.07,0.0496791,0.0259945,0.056741,0.111631,0.144
1.144,0.072,0.0554361,0.0272335,0.0591339,0.11595,0.1512
1.148,0.074,0.061655,0.0284946,0.0615603,0.120313,0.1584
1.152,0.076,0.0683559,0.0297776,0.0640196,0.124719,0.1656
1.156,0.078,0.0755588,0.0310822,0.0665114,0.129168,0.1728
1.16,0.08,0.083284,0.032408,0.0690354,0.13366,0.18
1.164,0.082,0.0915512,0.033755,0.0715912,0.138193,0.1872
1.168,0.084,0.10038,0.0351227,0.0741784,0.142768,0.1944
1.172,0.086,0.109792,0.036511,0.0767967,0.147383,0.2016
1.176,0.088,0.119804,0.0379196,0.0794458,0.152039,0.2088
1.18,0.09,0.130438,0.0393483,0.0821254,0.156734,0.216
1.184,0.092,0.141713,0.0407969,0.0848352,0.161469,0.2232
1.188,0.094,0.153649,0.0422652,0.0875748,0.166243,0.2304
1.192,0.096,0.166264,0.0437529,0.090344,0.171055,0.2376
1.196,0.098,0.179577,0.0452598,0.0931425,0.175906,0.2448
1.2,0.1,0.193608,0.0467857,0.09597,0.180794,0.252
1.204,0.102,0.208376,0.0483305,0.0988263,0.185719,0.2592
1.208,0.104,0.223899,0.0498939,0.101711,0.190681,0.2664
1.212,0.106,0.240195,0.0514757,0.104624,0.195679,0.2736
1.216,0.108,0.257283,0.0530758,0.107565,0.200714,0.2808
1.22,0.11,0.275181,0.0546939,0.110534,0.205784,0.288
1.224,0.112,0.293907,0.0563299,0.113531,0.21089,0.2952
1.228,0.114,0.313479,0.0579837,0.116555,0.216031,0.3024
1.232,0.116,0.333914,0.0596549,0.119606,0.221206,0.3096
1.236,0.118,0.35523,0.0613435,0.122684,0.226416,0.3168
1.24,0.12,0.377443,0.0630493,0.125789,0.23166,0.324
1.244,0.122,0.400571,0.0647721,0.12892,0.236938,0.3312
1.248,0.124,0.42463,0.0665118,0.132078,0.242249,0.3384
1.252,0.126,0.449638,0.0682681,0.135261,0.247594,0.3456
1.256,0.128,0.47561,0.070041,0.138471,0.252971,0.3528
1.26,0.13,0.502563,0.0718303,0.141707,0.258381,0.36
1.264,0.132,0.530512,0.0736359,0.144968,0.263823,0.3672
1.268,0.134,0.559474,0.0754575,0.148254,0.269297,0.3744
1.272,0.136,0.589464,0.077295,0.151566,0.274803,0.3816
1.276,0.138,0.620497,0.0791484,0.154903,0.280341,0.3888
1.28,0.14,0.65259,0.0810174,0.158265,0.28591,0.396
1.284,0.142,0.685756,0.0829019,0.161651,0.291509,0.4032
1.288,0.144,0.720012,0.0848017,0.165062,0.29714,0.4104
1.292,0.146,0.755371,0.0867168,0.168498,0.302801,0.4176
1.296,0.148,0.791848,0.088647,0.171957,0.308492,0.4248
1.3,0.15,0.829457,0.0905921,0.175441,0.314212,0.432
1.304,0.152,0.868214,0.0925521,0.178949,0.319963,0.4392
1.308,0.154,0.908131,0.0945267,0.182481,0.325743,0.4464
1.312,0.156,0.949223,0.0965159,0.186036,0.331553,0.4536
1.316,0.158,0.991503,0.0985196,0.189615,0.337391,0.4608
1.32,0.16,1.03499,0.100538,0.193217,0.343258,0.468
1.324,0.162,1.07968,0.10257,0.196842,0.349154,0.4752
1.328,0.164,1.12561,0.104616,0.20049,0.355077,0.4824
1.332,0.166,1.17278,0.106676,0.204161,0.361029,0.4896
1.336,0.168,1.2212,0.10875,0.207855,0.367009,0.4968
1.34,0.17,1.27089,0.110837,0.211572,0.373016,0.504
1.344,0.172,1.32186,0.112939,0.215311,0.379051,0.5112
1.348,0.174,1.37413,0.115053,0.219072,0.385113,0.5184
1.352,0.176,1.4277,0.117181,0.222856,0.391201,0.5256
1.356,0.178,1.48258,0.119322,0.226662,0.397317,0.5328
1.36,0.18,1.5388,0.121477,0.230489,0.403459,0.54
1.364,0.182,1.59636,0.123644,0.234339,0.409627,0.5472
1.368,0.184,1.65527,0.125824,0.23821,0.415821,0.5544
1.372,0.186,1.71555,0.128017,0.242102,0.422041,0.5616
